timestamp,dam_lbmp_kwh,hour,day_of_week,month,temperature_2m,temp_change_3h,precipitation,wind_power_proxy,solar_generation_proxy,cloud_cover,rt_lbmp_kwh
2025-01-01 00:00:00,0.03711,0,2,1,45.6,,0.146,0.0453719629629629,0.0,100,0.08148594320026896
2025-01-01 01:00:00,0.03622,1,2,1,46.8,,0.035,0.0297909999999999,0.0,100,0.07883417163098395
2025-01-01 02:00:00,0.0344,2,2,1,47.6,,0.0,0.004096,0.0,100,0.08461049010626828
2025-01-01 03:00:00,0.02842,3,2,1,48.0,2.3999999999999986,0.0,0.005832,0.0,100,0.07875518635694258
2025-01-01 04:00:00,0.02831,4,2,1,48.0,1.2000000000000028,0.0,0.006162037037037,0.0,100,0.06442787750046666
2025-01-01 05:00:00,0.03235,5,2,1,47.0,-0.6000000000000014,0.0,0.0088269629629629,0.0,100,0.07092822403824404
2025-01-01 06:00:00,0.03117,6,2,1,46.5,-1.5,0.0,0.027910037037037,0.0,38,0.080709962762519
2025-01-01 07:00:00,0.03529,7,2,1,43.9,-4.100000000000001,0.0,0.0235576296296296,0.0,21,0.07601365858861331
2025-01-01 08:00:00,0.03713,8,2,1,41.6,-5.399999999999999,0.0,0.017576,0.0,11,0.06372968385915635
2025-01-01 09:00:00,0.03764,9,2,1,44.6,-1.8999999999999984,0.0,0.0169086296296296,12.0,18,0.08110421753099319
2025-01-01 10:00:00,0.04027,10,2,1,46.4,2.5,0.0,0.0162583703703703,111.0,5,0.0834471153449684
2025-01-01 11:00:00,0.0406,11,2,1,48.8,7.199999999999996,0.0,0.014408037037037,261.0,8,0.0911744651508696
2025-01-01 12:00:00,0.0412999999999999,12,2,1,50.6,6.0,0.0,0.032768,358.0,29,0.10311426281643088
2025-01-01 13:00:00,0.0418,13,2,1,51.7,5.300000000000004,0.0,0.0348589629629629,396.0,50,0.09083534001450667
2025-01-01 14:00:00,0.04217,14,2,1,51.2,2.4000000000000057,0.0,0.0656133703703703,336.0,100,0.09008791538291025
2025-01-01 15:00:00,0.0422,15,2,1,47.1,-3.5,0.0,0.1038229999999999,104.0,100,0.08474531126982643
2025-01-01 16:00:00,0.04525,16,2,1,43.7,-8.0,0.0,0.110592,53.0,75,0.21798048776360823
2025-01-01 17:00:00,0.05574,17,2,1,42.2,-9.0,0.004,0.0952352962962962,70.0,75,0.25012526379963546
2025-01-01 18:00:00,0.04921,18,2,1,41.2,-5.899999999999999,0.004,0.0776722962962963,0.0,33,0.07784409438363409
2025-01-01 19:00:00,0.0466599999999999,19,2,1,40.6,-3.1000000000000014,0.0,0.075866037037037,0.0,1,0.06764175857688484
2025-01-01 20:00:00,0.04431,20,2,1,40.2,-2.0,0.0,0.075866037037037,0.0,7,0.0855486772212172
2025-01-01 21:00:00,0.04008,21,2,1,41.1,-0.1000000000000014,0.0,0.0832626296296296,0.0,5,0.06702169156218232
2025-01-01 22:00:00,0.03777,22,2,1,40.0,-0.6000000000000014,0.0,0.085184,0.0,1,0.06265092703172892
2025-01-01 23:00:00,0.0375099999999999,23,2,1,38.8,-1.4000000000000057,0.0,0.0672536296296296,0.0,0,0.04814710486512481
2025-01-02 00:00:00,0.03983,0,3,1,38.1,-3.0,0.0,0.0578109629629629,0.0,5,0.057561259293948244
2025-01-02 01:00:00,0.03924,1,3,1,37.5,-2.5,0.0,0.054872,0.0,0,0.06063332693881809
2025-01-02 02:00:00,0.03659,2,3,1,36.7,-2.0999999999999943,0.0,0.064,0.0,0,0.044594493283507335
2025-01-02 03:00:00,0.03333,3,3,1,35.9,-2.200000000000003,0.0,0.0593189999999999,0.0,0,0.05073072480994701
2025-01-02 04:00:00,0.03753,4,3,1,35.3,-2.200000000000003,0.0,0.050653,0.0,2,0.04804556485746458
2025-01-02 05:00:00,0.0404799999999999,5,3,1,35.1,-1.6000000000000014,0.0,0.0453719629629629,0.0,31,0.054435961463794896
2025-01-02 06:00:00,0.04392,6,3,1,34.5,-1.3999999999999986,0.0,0.0453719629629629,0.0,12,0.055485430089187084
